"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x159061147","x1410366035723698176",2021-06-30 22:34:00,"LancioniFacundo","En la Provincia de Buenos Aires<U+0001F447>
<U+274C>NO HAY PRESENCIALIDAD COMPLETA
<U+274C>NO HAY CENTROS DE TESTEOS P/ DOCENTES NI ALUMNOS
<U+274C>NO SE GARANTIZAN CONDICIONES LABORALES NI LES INTERESA: NI LOS SINDICATOS DE SIEMPRE NI LOS FUNCIONARIOS APARECEN

¿Este modelo de #educación queremos? BASTA.","Twitter for iPhone",274,,,,FALSE,FALSE,4,0,,,"educación",,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/018f1cde6bad9747.json","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires, Argentina","city","Argentina","AR","NA NA","NA NA","-58.5317922 -58.353494 -58.353494 -58.5317922 -34.674453 -34.674453 -34.534177 -34.534177","https://twitter.com/LancioniFacundo/status/1410366035723698176","Facundo Lancioni Kaprow","Buenos aires, capital federal","Docente. Secretario General de @SEducASindicato. #PrioridadEducación. Fanatico de San Lorenzo.","https://t.co/CTigCYn3BR",FALSE,1535,3551,3,1391,3561,2010-06-24 10:15:57,FALSE,"https://t.co/CTigCYn3BR","http://instagram.com/facundo.lancioni",,"https://pbs.twimg.com/profile_banners/159061147/1592450464","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1387888668078133248/gSlHl0HP_normal.jpg"
"x159061147","x1408558306420039681",2021-06-25 22:50:44,"LancioniFacundo","Estuve presente en la Escuela 8 D.E 9 acompañando al equipo directivo y afiliadas a @SeducaSindicato.

Como Secretario General destaco el rol social que debemos tener los sindicatos docentes, por eso acompaño
el compromiso que cada Docente lleva para sostener la #presencialidad<U+0001F9D1><U+200D><U+0001F3EB> https://t.co/xeIisjc8Fz","Twitter for iPhone",281,,,,FALSE,FALSE,8,1,,,"presencialidad",,,,,"http://pbs.twimg.com/media/E4w0TM5XoAcatCQ.jpg","https://t.co/xeIisjc8Fz","https://twitter.com/LancioniFacundo/status/1408558306420039681/photo/1","photo","http://pbs.twimg.com/media/E4w0TM5XoAcatCQ.jpg http://pbs.twimg.com/media/E4w0TM7XoAIxzYx.jpg http://pbs.twimg.com/media/E4w0TNZXwAQT-Jv.jpg http://pbs.twimg.com/media/E4w0TNZWEAMdTir.jpg","https://t.co/xeIisjc8Fz https://t.co/xeIisjc8Fz https://t.co/xeIisjc8Fz https://t.co/xeIisjc8Fz","https://twitter.com/LancioniFacundo/status/1408558306420039681/photo/1 https://twitter.com/LancioniFacundo/status/1408558306420039681/photo/1 https://twitter.com/LancioniFacundo/status/1408558306420039681/photo/1 https://twitter.com/LancioniFacundo/status/1408558306420039681/photo/1",,"x1379477079717244932","SeducaSindicato","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/018f1cde6bad9747.json","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires, Argentina","city","Argentina","AR","NA NA","NA NA","-58.5317922 -58.353494 -58.353494 -58.5317922 -34.674453 -34.674453 -34.534177 -34.534177","https://twitter.com/LancioniFacundo/status/1408558306420039681","Facundo Lancioni Kaprow","Buenos aires, capital federal","Docente. Secretario General de @SEducASindicato. #PrioridadEducación. Fanatico de San Lorenzo.","https://t.co/CTigCYn3BR",FALSE,1535,3551,3,1391,3561,2010-06-24 10:15:57,FALSE,"https://t.co/CTigCYn3BR","http://instagram.com/facundo.lancioni",,"https://pbs.twimg.com/profile_banners/159061147/1592450464","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1387888668078133248/gSlHl0HP_normal.jpg"
"x159061147","x1409665008913457156",2021-06-29 00:08:23,"LancioniFacundo","@CicchinoMarcelo @RobiBaradel @BAeducacion @ClaudiaBracchi1 @SUTEBAProvincia @EducacionAR Totalmente de acuerdo. En 35 años, hicieron 1092 paros docentes, una vergüenza.  No va más ese modelo!","Twitter for iPhone",102,"x1409663796545687555","x1193704700505448448","CicchinoMarcelo",FALSE,FALSE,4,0,,,,,,,,,,,,,,,,"x1193704700505448448 x210901261 x815689902 x1146201116880883712 x414215278 x727258832121004033","CicchinoMarcelo RobiBaradel BAeducacion ClaudiaBracchi1 SUTEBAProvincia EducacionAR","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/018f1cde6bad9747.json","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires, Argentina","city","Argentina","AR","NA NA","NA NA","-58.5317922 -58.353494 -58.353494 -58.5317922 -34.674453 -34.674453 -34.534177 -34.534177","https://twitter.com/LancioniFacundo/status/1409665008913457156","Facundo Lancioni Kaprow","Buenos aires, capital federal","Docente. Secretario General de @SEducASindicato. #PrioridadEducación. Fanatico de San Lorenzo.","https://t.co/CTigCYn3BR",FALSE,1535,3551,3,1391,3561,2010-06-24 10:15:57,FALSE,"https://t.co/CTigCYn3BR","http://instagram.com/facundo.lancioni",,"https://pbs.twimg.com/profile_banners/159061147/1592450464","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1387888668078133248/gSlHl0HP_normal.jpg"
"x849322586","x1410362219049762818",2021-06-30 22:18:50,"emilianobuis","Acabo de enviar el trabajo final del Programa de Formación Superior en Egiptología de la @UAHes. Gracias a @amoralesrondan y al fantástico equipo de docentes; fue un lujo cursarlo. <U+0001F4AA><U+0001F3FC><U+0001F51D> https://t.co/WcVJzsBuQk","Twitter for iPhone",184,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/E5Kc9l4XEAUxZxf.jpg","https://t.co/WcVJzsBuQk","https://twitter.com/emilianobuis/status/1410362219049762818/photo/1","photo","http://pbs.twimg.com/media/E5Kc9l4XEAUxZxf.jpg http://pbs.twimg.com/media/E5Kc9l6WYAEdjat.jpg","https://t.co/WcVJzsBuQk https://t.co/WcVJzsBuQk","https://twitter.com/emilianobuis/status/1410362219049762818/photo/1 https://twitter.com/emilianobuis/status/1410362219049762818/photo/1",,"x275097363 x782647665234292736","UAHes amoralesrondan","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/emilianobuis/status/1410362219049762818","Emiliano J. Buis","Buenos Aires","Professor of International Law & Classics (UBA-UNICEN) • Researcher CONICET • Legal Expert CICTE/OAS • Director of IHL Observatory, UBA • CILRAP Research Fellow","https://t.co/sxfoHy15Zn",FALSE,1677,1095,5,791,4246,2012-09-27 14:08:24,FALSE,"https://t.co/sxfoHy15Zn","https://uba.academia.edu/EmilianoBuis",,"https://pbs.twimg.com/profile_banners/849322586/1545058624","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1372973396733087744/_Z2R66Xw_normal.jpg"
"x2641224098","x1410361325587468293",2021-06-30 22:15:17,"natucha2222","@magariovero hola necesito preguntar algo sobre el los docentes","Twitter for Android",63,,"x1584076484","magariovero",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1584076484","magariovero","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/natucha2222/status/1410361325587468293","NATALIA ARECHAGA","buenos aires","fana del buen futbol, enamorada d mi hijo, amante de mi pais",,FALSE,5,77,0,105,22,2014-07-14 00:36:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/2641224098/1405302277","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/488498628822974464/x_QT-xqR_normal.jpeg"
"x191516243","x1410345236220547074",2021-06-30 21:11:21,"nico_lezcano","¿Puedo volver a quejarme de los actos públicos docentes?
Pasaron 2 semanas del último y aún no entregaron los cargos. Incluso algunas de las suplencias a cubrir ya se terminaron sin que nadie ocupe las horas. 
Hay cientos de cursos sin profesores y miles de profesores sin trabajo","Twitter Web App",280,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nico_lezcano/status/1410345236220547074","Nico <U+0001F49A><U+0001F3F3><U+FE0F><U+200D><U+0001F308>","buenos aires, argentina","Profesor.
Cristinista y Peronista.",,FALSE,1932,946,16,34867,579,2010-09-16 17:04:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/191516243/1604685772","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1375178215275249666/nuj7Ogem_normal.jpg"
"x191516243","x1407846165224333314",2021-06-23 23:40:56,"nico_lezcano","En el último acto público para cubrir cargos docentes salió una suplencia que era del 24 de mayo al 25 de Junio.
Mañana es 25 de Junio y no dieron los resultados.
Ahí tenemos un curso que estuvo un mes entero sin inglés. 
<U+0001F923> me río de lo absurdo de todo.","Twitter Web App",253,,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nico_lezcano/status/1407846165224333314","Nico <U+0001F49A><U+0001F3F3><U+FE0F><U+200D><U+0001F308>","buenos aires, argentina","Profesor.
Cristinista y Peronista.",,FALSE,1932,946,16,34867,579,2010-09-16 17:04:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/191516243/1604685772","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1375178215275249666/nuj7Ogem_normal.jpg"
"x191516243","x1407849333693820937",2021-06-23 23:53:32,"nico_lezcano","Yo siento que hay alguien en la administración de la dirección general de escuelas que odia con todo su ser a lxs docentes y por eso hacen estas cosas.
DOS MESES TARDARON EN SOLUCIONARME UN RECLAMO. ME CAG0 EN DIOS Y LA PVTA MADRE https://t.co/Qd9GtSMv3K","Twitter Web App",230,,,,FALSE,FALSE,1,0,,,,,,,,"http://pbs.twimg.com/media/E4mvGrWWUAAlrNT.jpg","https://t.co/Qd9GtSMv3K","https://twitter.com/nico_lezcano/status/1407849333693820937/photo/1","photo","http://pbs.twimg.com/media/E4mvGrWWUAAlrNT.jpg http://pbs.twimg.com/media/E4mvLzUXwAENASz.jpg","https://t.co/Qd9GtSMv3K https://t.co/Qd9GtSMv3K","https://twitter.com/nico_lezcano/status/1407849333693820937/photo/1 https://twitter.com/nico_lezcano/status/1407849333693820937/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nico_lezcano/status/1407849333693820937","Nico <U+0001F49A><U+0001F3F3><U+FE0F><U+200D><U+0001F308>","buenos aires, argentina","Profesor.
Cristinista y Peronista.",,FALSE,1932,946,16,34867,579,2010-09-16 17:04:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/191516243/1604685772","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1375178215275249666/nuj7Ogem_normal.jpg"
"x179302170","x1410042282838052872",2021-06-30 01:07:32,"Eliassegura","@Mau_Albornoz Los docentes universitarios en CABA seguimos esperando. Nos anotamos, pero de vacunas… nada","Twitter for iPhone",91,"x1409968039924166656","x317549286","Mau_Albornoz",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x317549286","Mau_Albornoz","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Eliassegura/status/1410042282838052872","Elias Martin Segura","Buenos aires ","hereje in extremis",,FALSE,213,843,4,6279,14848,2010-08-17 00:24:49,FALSE,,,,"https://pbs.twimg.com/profile_banners/179302170/1537987929","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1215075581139783680/8ZRJwthP_normal.jpg"
"x179302170","x1410343708680142850",2021-06-30 21:05:17,"Eliassegura","@drjorgerachid Díganle a Quiroz que los docentes Universitarios en CABA ya estamos anotados, hace vaaaarias semanas. Que nos vacune.","Twitter for iPhone",117,"x1410217836576919554","x187520787","drjorgerachid",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x187520787","drjorgerachid","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Eliassegura/status/1410343708680142850","Elias Martin Segura","Buenos aires ","hereje in extremis",,FALSE,213,843,4,6279,14848,2010-08-17 00:24:49,FALSE,,,,"https://pbs.twimg.com/profile_banners/179302170/1537987929","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1215075581139783680/8ZRJwthP_normal.jpg"
