"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x148449279","x1410361630408462339",2021-06-30 22:16:30,"UnaManteca","@ernestorr Lo curioso es que siendo tan capo no te des cuenta que lo que demuestra es que todas las medidas inconstitucionales que se adoptaron y promoviste no sirven para nada. Escuelas cerradas al pedo, comercios cerrados al pedo. Pobreza en aumento, la economía a la mierda y todo al pedo","Twitter for Android",280,"x1409707511385526272","x73102744","ernestorr",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x73102744","ernestorr","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UnaManteca/status/1410361630408462339","#JeSuiManteca","Buenos Aires","Tweets originales de @unamanteca. Las demás son imitaciones",,FALSE,177,1202,1,7687,926,2010-05-26 18:41:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/148449279/1409352627","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/788796972371148805/h--pDxky_normal.jpg"
"x148449279","x1407400938055294990",2021-06-22 18:11:46,"UnaManteca","@Gus_Noriega Y en todos los países sigue una curva similar, lo que -sumado a la mayor baja de casos en CABA vs. PBA- demuestra que las medidas como cierre de escuelas, no tienen impacto suficiente que las justifiquen","Twitter for Android",203,"x1407083797657624580","x337631754","Gus_Noriega",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x337631754","Gus_Noriega","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UnaManteca/status/1407400938055294990","#JeSuiManteca","Buenos Aires","Tweets originales de @unamanteca. Las demás son imitaciones",,FALSE,177,1202,1,7687,926,2010-05-26 18:41:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/148449279/1409352627","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/788796972371148805/h--pDxky_normal.jpg"
"x148449279","x1407397770298806276",2021-06-22 17:59:11,"UnaManteca","@Aerolineas_AR Que orgullo. En un país como el nuestro, sin pobreza, con escuelas, seguridad  y sistema de salud dignos del primer mundo, podemos darnos el gusto de gastar dos palos verdes por día para tener una aerolínea de bandera. Los países que no la tienen, seguro que no tienen vacunas","Twitter for Android",276,"x1407104003113160710","x153900887","Aerolineas_AR",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x153900887","Aerolineas_AR","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UnaManteca/status/1407397770298806276","#JeSuiManteca","Buenos Aires","Tweets originales de @unamanteca. Las demás son imitaciones",,FALSE,177,1202,1,7687,926,2010-05-26 18:41:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/148449279/1409352627","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/788796972371148805/h--pDxky_normal.jpg"
"x1292794890791854082","x1410359766266920962",2021-06-30 22:09:06,"networkoflight1","Creo que los más golpeados mentalmente fueron los profesores de las escuelas. Están arruinados, los viven psicopateando por un lado o están todos traumados por el otro, parece que hasta en la salud se está mejor.","Twitter for Android",212,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/networkoflight1/status/1410359766266920962","Carolina","Buenos Aires, Argentina","",,FALSE,139,103,2,1416,1106,2020-08-10 12:08:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1292794890791854082/1616212686",,"http://pbs.twimg.com/profile_images/1408178055332433921/Wd1o8uDV_normal.jpg"
"x515987021","x1410356123614564352",2021-06-30 21:54:37,"magaliperezn","También, la culpa la tenían las escuelas, y aunque fueron eficientes en mantenerlas sin clases presenciales hasta el día de hoy, no sabemos si fueron eficientes en transmitir conocimiento, y no lo vamos a saber porque este mismo gobierno decidió cancelar las pruebas Aprender. https://t.co/taXe1SXgcI","Twitter for iPhone",276,"x1410355865442467844","x515987021","magaliperezn",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/E5KXakWXEAANgvo.jpg","https://t.co/taXe1SXgcI","https://twitter.com/magaliperezn/status/1410356123614564352/photo/1","photo","http://pbs.twimg.com/media/E5KXakWXEAANgvo.jpg","https://t.co/taXe1SXgcI","https://twitter.com/magaliperezn/status/1410356123614564352/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/magaliperezn/status/1410356123614564352","Magalí Perez","América, Buenos Aires","25. Politóloga. Siempre con ganas de cambiar el <U+0001F30E>. Parte de @Rivadaviajoven y Secretaria de Gobierno de @munirivadavia1",,FALSE,723,437,3,15190,2503,2012-03-05 23:46:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/515987021/1573336788","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1396480416228511749/Y8Z6PJR7_normal.jpg"
"x515987021","x1407829154792357905",2021-06-23 22:33:21,"magaliperezn","Para muchas familias, el cierre de las escuelas y las medidas de distanciamiento social han aumentado la carga de trabajo doméstico y de cuidados de las mujeres en el hogar, lo que les dificulta asumir trabajos remunerados o mantener el equilibrio entre ambas ocupaciones. https://t.co/EuiwQuCdFp","Twitter for iPhone",272,"x1407828363721519114","x515987021","magaliperezn",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/E4mdJdrXMAAaC6g.jpg","https://t.co/EuiwQuCdFp","https://twitter.com/magaliperezn/status/1407829154792357905/photo/1","photo","http://pbs.twimg.com/media/E4mdJdrXMAAaC6g.jpg","https://t.co/EuiwQuCdFp","https://twitter.com/magaliperezn/status/1407829154792357905/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/magaliperezn/status/1407829154792357905","Magalí Perez","América, Buenos Aires","25. Politóloga. Siempre con ganas de cambiar el <U+0001F30E>. Parte de @Rivadaviajoven y Secretaria de Gobierno de @munirivadavia1",,FALSE,723,437,3,15190,2503,2012-03-05 23:46:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/515987021/1573336788","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1396480416228511749/Y8Z6PJR7_normal.jpg"
"x936710998819524609","x1410355985722580996",2021-06-30 21:54:04,"vivalarivalidad","Lo mal que me hacen las fotos de niñeces llenas de abrigo intentando estudiar en escuelas que se caen a pedazos, de los dos lados de la panamericana. Estoy harto de este sistema de mierda.","Twitter for Android",188,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/018f1cde6bad9747.json","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires, Argentina","city","Argentina","AR","NA NA","NA NA","-58.5317922 -58.353494 -58.353494 -58.5317922 -34.674453 -34.674453 -34.534177 -34.534177","https://twitter.com/vivalarivalidad/status/1410355985722580996","Julián Marino","","Trosko del PTS, trans y laburante. 
Leo por placer, escribo por necesidad.",,FALSE,135,102,0,1513,1114,2017-12-01 21:38:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/936710998819524609/1581691730",,"http://pbs.twimg.com/profile_images/1409681109118504960/mGw2t1Nm_normal.jpg"
"x783074724","x1410355750120087559",2021-06-30 21:53:08,"jfaginas","#COVID19
30/6/21
Buenos Aires - invierno - temperaturas de 5 °C.

Escuelas con aulas abiertas, ventanas abiertas y sin calefacción.<U+2705>

Negocios con puertas cerradas, ventanas cerradas y con calefacción.<U+274C>

Pido coherencia a las autoridades.","Twitter for Android",238,,,,FALSE,FALSE,0,0,,,"COVID19",,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jfaginas/status/1410355750120087559","José Faginas","Buenos Aires - Argentina","Profesor de Electrónica",,FALSE,113,46,11,7298,1707,2012-08-26 19:48:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/783074724/1587088719","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1250966893206409216/9guCK15K_normal.jpg"
"x635396476","x1410355506393272322",2021-06-30 21:52:10,"6uidoGT","@BumperCrop1 Lavaría platos allá, si. Donde no te dejan sin vacunas, sin vuelos y sin escuelas por caprichos políticos. Donde difícilmente este grupo de científicos hubiera alcanzado posiciones relevantes en un mercado competitivo.
Resentidos e hipócritas, porque son los primeros en ir.","Twitter for Android",274,"x1410301343441600527","x1366380860","BumperCrop1",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1366380860","BumperCrop1","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/6uidoGT/status/1410355506393272322","Guido GT","Buenos Aires, Argentina","Reglas claras. Las cosas por su nombre. Por la educación pública, laica, y gratuita para argentinos. Inmigración estratégica, y reproducción responsable<U+200B>.",,FALSE,59,40,0,3159,40004,2012-07-14 13:43:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/635396476/1491481263","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2396940921/Rubik_normal.jpg"
"x635396476","x1408221696465772547",2021-06-25 00:33:10,"6uidoGT","@CFKArgentina @SenadoArgentina ¡Cuánto amor no correspondido! Aceptémoslo. A esta mujer le importamos un pepino todos. Ella multimillonaria sin más que un sueldo estatal, y nosotros acá, mendigando vacunas. Ella ya a salvo, hace rato. Su lugar en el mundo, sin escuelas hace año y medio. 50% de pobres. Miremos.","Twitter for Android",280,"x1408207226477727744","x138814032","CFKArgentina",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x138814032 x555684585","CFKArgentina SenadoArgentina","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/6uidoGT/status/1408221696465772547","Guido GT","Buenos Aires, Argentina","Reglas claras. Las cosas por su nombre. Por la educación pública, laica, y gratuita para argentinos. Inmigración estratégica, y reproducción responsable<U+200B>.",,FALSE,59,40,0,3159,40004,2012-07-14 13:43:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/635396476/1491481263","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2396940921/Rubik_normal.jpg"
