"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2655263317","x1407768191531634694",2021-06-23 18:31:06,"GloriaButti","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK","Twitter for Android",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x1333479414982696962","PadresOrgPBA","es",,,,,,,,,,,,,,,,"x1407746062849302535","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK",2021-06-23 17:03:10,"Twitter for iPhone",15,10,"x1333479414982696962","PadresOrgPBA","<U+0001F56F> PadresOrgPBA <U+0001F56F>",2637,255,2978,"Buenos Aires, Argentina","Padres Organizados de la Provincia de Buenos Aires padresorgpba@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GloriaButti/status/1407768191531634694","Gloria Butti","","",,FALSE,40,78,2,4477,4351,2014-07-18 00:07:16,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/945056237883985920/jWqBMW8L_normal.jpg"
"x136483595","x1407763485954555905",2021-06-23 18:12:24,"CAROZAYA","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK","Twitter for Android",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x1333479414982696962","PadresOrgPBA","es",,,,,,,,,,,,,,,,"x1407746062849302535","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK",2021-06-23 17:03:10,"Twitter for iPhone",15,10,"x1333479414982696962","PadresOrgPBA","<U+0001F56F> PadresOrgPBA <U+0001F56F>",2637,255,2978,"Buenos Aires, Argentina","Padres Organizados de la Provincia de Buenos Aires padresorgpba@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CAROZAYA/status/1407763485954555905","c@ritoBJ<U+0001F499><U+0001F49B><U+0001F499>","Buenos Aires, Argentina","Primero bostera despues argentina!! jajajaja  C.A.B.J sos mi vida......!!!!",,FALSE,271,298,0,13651,114782,2010-04-24 02:29:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/136483595/1554065576","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1382794916909232131/_CHIMLKy_normal.jpg"
"x1170446614374375425","x1407763263815929857",2021-06-23 18:11:31,"magda_paladino","Mientras @trottanico nos cuenta cómo la falta de presencialidad profundizó la desigualdad entre los chicos, @Kicillofok mantiene las aulas cerradas en casi todo el interior de la provincia.
Abran las escuelas del interior. Los chicos necesitan volver al aula. #AbranLasEscuelas","Twitter Web App",140,,,,FALSE,TRUE,0,1405,,,,,,,,,,,,,,,,"x38494089 x247540617 x2953955753","jorgemacri trottanico Kicillofok","es",,,,,,,,,,,,,,,,"x1404844884549373953","Mientras @trottanico nos cuenta cómo la falta de presencialidad profundizó la desigualdad entre los chicos, @Kicillofok mantiene las aulas cerradas en casi todo el interior de la provincia.
Abran las escuelas del interior. Los chicos necesitan volver al aula. #AbranLasEscuelas",2021-06-15 16:54:55,"Twitter Web App",3192,1405,"x38494089","jorgemacri","Jorge Macri",192223,4633,27091,"Buenos Aires, Argentina","Intendente de Vicente López. Papá de tres hijos maravillosos. Hincha de River y amante de la cocina.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/magda_paladino/status/1407763263815929857","Magda Paladino","","En tercer intento de perdurar por aquí. Veremos esta vez cuanto duro.
Anti K",,FALSE,551,535,0,27857,35844,2019-09-07 21:20:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/1170446614374375425/1621461372",,"http://pbs.twimg.com/profile_images/1189732287983837185/jb0uskF__normal.jpg"
"x1911857497","x1407760515980533764",2021-06-23 18:00:36,"MartaGa34757552","Mientras @trottanico nos cuenta cómo la falta de presencialidad profundizó la desigualdad entre los chicos, @Kicillofok mantiene las aulas cerradas en casi todo el interior de la provincia.
Abran las escuelas del interior. Los chicos necesitan volver al aula. #AbranLasEscuelas","Twitter for Android",140,,,,FALSE,TRUE,0,1405,,,,,,,,,,,,,,,,"x38494089 x247540617 x2953955753","jorgemacri trottanico Kicillofok","es",,,,,,,,,,,,,,,,"x1404844884549373953","Mientras @trottanico nos cuenta cómo la falta de presencialidad profundizó la desigualdad entre los chicos, @Kicillofok mantiene las aulas cerradas en casi todo el interior de la provincia.
Abran las escuelas del interior. Los chicos necesitan volver al aula. #AbranLasEscuelas",2021-06-15 16:54:55,"Twitter Web App",3192,1405,"x38494089","jorgemacri","Jorge Macri",192223,4633,27091,"Buenos Aires, Argentina","Intendente de Vicente López. Papá de tres hijos maravillosos. Hincha de River y amante de la cocina.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MartaGa34757552/status/1407760515980533764","Marta Garcia MdQ","Mar del Plata, Argentina","Robar es un delito, pero arruinar a un País, es traición a la Patria.
Gral. Don José de San Martin.",,FALSE,6284,6766,4,150498,150541,2013-09-27 17:51:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/1911857497/1496352922","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/978042919679676421/m9Sqq-G9_normal.jpg"
"x318409267","x1407759233098125317",2021-06-23 17:55:30,"maru_2676","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK","Twitter for iPhone",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x1333479414982696962","PadresOrgPBA","es",,,,,,,,,,,,,,,,"x1407746062849302535","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK",2021-06-23 17:03:10,"Twitter for iPhone",15,10,"x1333479414982696962","PadresOrgPBA","<U+0001F56F> PadresOrgPBA <U+0001F56F>",2637,255,2978,"Buenos Aires, Argentina","Padres Organizados de la Provincia de Buenos Aires padresorgpba@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/maru_2676/status/1407759233098125317","#Marina#","","Anti K desde la cuna. No soy un troll.",,FALSE,52,195,1,20258,3931,2011-06-16 13:01:02,FALSE,,,,"https://pbs.twimg.com/profile_banners/318409267/1391838813","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1333570292564758529/G9OsqhSp_normal.jpg"
"x1392119312257855488","x1407758444698947593",2021-06-23 17:52:22,"ReMtere","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK","Twitter for Android",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x1333479414982696962","PadresOrgPBA","es",,,,,,,,,,,,,,,,"x1407746062849302535","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK",2021-06-23 17:03:10,"Twitter for iPhone",15,10,"x1333479414982696962","PadresOrgPBA","<U+0001F56F> PadresOrgPBA <U+0001F56F>",2637,255,2978,"Buenos Aires, Argentina","Padres Organizados de la Provincia de Buenos Aires padresorgpba@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ReMtere/status/1407758444698947593","Mtere_re","","",,FALSE,21,34,0,486,891,2021-05-11 14:08:21,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1392119794267312130/mU7YVNdY_normal.jpg"
"x168690349","x1407752999548633091",2021-06-23 17:30:44,"Maru_Banchero","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK","Twitter for Android",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x1333479414982696962","PadresOrgPBA","es",,,,,,,,,,,,,,,,"x1407746062849302535","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK",2021-06-23 17:03:10,"Twitter for iPhone",15,10,"x1333479414982696962","PadresOrgPBA","<U+0001F56F> PadresOrgPBA <U+0001F56F>",2637,255,2978,"Buenos Aires, Argentina","Padres Organizados de la Provincia de Buenos Aires padresorgpba@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Maru_Banchero/status/1407752999548633091","Maru Banchero","9 de Julio, PBA, Arg","",,FALSE,97,400,0,274,211,2010-07-20 15:00:18,FALSE,,,,,"http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1405269716214579204/xZHmqqg__normal.jpg"
"x168690349","x1407396792757624834",2021-06-22 17:55:18,"Maru_Banchero","En @BAProvincia @kicillofok y #AgustinaVila siguen decidiendo que las escuelas sean LO ÚLTIMO EN ABRIR.

<U+0001F4E3> HOY <U+2755><U+2755><U+2755> nos manifestamos para que #AbranLasEscuelas para #TodosLosNNyA #TodosLosDías

ES URGENTE<U+203C><U+FE0F> https://t.co/U7a7biqTy2","Twitter for Android",140,,,,FALSE,TRUE,0,34,,,"AgustinaVila",,,,,,,,,,,,,"x1333479414982696962 x500964169 x2953955753","PadresOrgPBA BAProvincia Kicillofok","es",,,,,,,,,,,,,,,,"x1407351664022069248","En @BAProvincia @kicillofok y #AgustinaVila siguen decidiendo que las escuelas sean LO ÚLTIMO EN ABRIR.

<U+0001F4E3> HOY <U+2755><U+2755><U+2755> nos manifestamos para que #AbranLasEscuelas para #TodosLosNNyA #TodosLosDías

ES URGENTE<U+203C><U+FE0F> https://t.co/U7a7biqTy2",2021-06-22 14:55:58,"Twitter for iPhone",56,34,"x1333479414982696962","PadresOrgPBA","<U+0001F56F> PadresOrgPBA <U+0001F56F>",2637,255,2978,"Buenos Aires, Argentina","Padres Organizados de la Provincia de Buenos Aires padresorgpba@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Maru_Banchero/status/1407396792757624834","Maru Banchero","9 de Julio, PBA, Arg","",,FALSE,97,400,0,274,211,2010-07-20 15:00:18,FALSE,,,,,"http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1405269716214579204/xZHmqqg__normal.jpg"
"x1376158683860713472","x1407750660263747587",2021-06-23 17:21:26,"Chichu48161204","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK","Twitter for Android",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x1333479414982696962","PadresOrgPBA","es",,,,,,,,,,,,,,,,"x1407746062849302535","<U+0001F5E3> Mucho se habla de la ventilación de las aulas, y acá les dejamos un breve resumen de la normativa al respecto.

#AbranLasEscuelas https://t.co/smEvRbroMK",2021-06-23 17:03:10,"Twitter for iPhone",15,10,"x1333479414982696962","PadresOrgPBA","<U+0001F56F> PadresOrgPBA <U+0001F56F>",2637,255,2978,"Buenos Aires, Argentina","Padres Organizados de la Provincia de Buenos Aires padresorgpba@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Chichu48161204/status/1407750660263747587","Chichu","","",,FALSE,5,155,0,639,316,2021-03-28 13:06:34,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1376206110634471429/2lDPE6xl_normal.jpg"
"x429420619","x1405664925549223944",2021-06-17 23:13:28,"ignaciosobrino","@gra_underglam @mjose_74 @OrgIsidro @PadresOrgPBA No bajamos los brazos. La escuela HACE BIEN. #AbranLasEscuelas #abranTODASlasescuelas @trottanico @Kicillofok","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,"AbranLasEscuelas",,,,,,,,,,,,,"x182000605 x791809268 x350504547 x1389295154096394245 x1333479414982696962","cdicorleto gra_underglam mjose_74 OrgIsidro PadresOrgPBA","es",,,,,,,,,,,,,,,,"x1405659241591963650","@gra_underglam @mjose_74 @OrgIsidro @PadresOrgPBA No bajamos los brazos. La escuela HACE BIEN. #AbranLasEscuelas #abranTODASlasescuelas @trottanico @Kicillofok",2021-06-17 22:50:53,"Twitter for iPhone",1,2,"x182000605","cdicorleto","Carla",36,167,825,"Buenos Aires, Argentina","Profesora universitaria y secundaria. Master en Linguistica y enseñanza de inglés. Madre. Comprometida con mi profesión y la educación estatal y privada.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ignaciosobrino/status/1405664925549223944","ignacio sobrino","","Abran las escuelas !!",,FALSE,13,58,0,217,2,2011-12-05 23:22:16,FALSE,,,,,"http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/2054316561/Sobrino_normal.jpg"
